repoName,login,week,a,d,c
LightTable/LightTable,thoradam,2014-01-05 0:00,2,1,1
LightTable/LightTable,darthdeus,2014-01-05 0:00,28,21,1
LightTable/LightTable,Dadie,2015-06-14 0:00,1,1,1
LightTable/LightTable,Mouvedia,2016-08-28 0:00,1,0,1
LightTable/LightTable,tomtau,2016-07-24 0:00,7,0,1
LightTable/LightTable,brandonbloom,2014-01-05 0:00,0,2,1
LightTable/LightTable,shamrin,2014-11-23 0:00,2,0,1
LightTable/LightTable,message,2014-01-05 0:00,6,0,1
LightTable/LightTable,ryanpcmcquen,2015-12-13 0:00,2,2,1
LightTable/LightTable,zoranzaric,2014-01-05 0:00,6,1,1
LightTable/LightTable,wesleywiser,2014-01-05 0:00,1,1,1
LightTable/LightTable,Grahack,2015-10-18 0:00,1,1,1
LightTable/LightTable,Feminist-Software-Foundation,2014-01-05 0:00,10,10,1
LightTable/LightTable,whaley,2014-01-05 0:00,1,1,1
LightTable/LightTable,gitter-badger,2015-06-28 0:00,2,0,1
LightTable/LightTable,miraleung,2015-04-26 0:00,3,3,1
LightTable/LightTable,dmohs,2014-01-05 0:00,7,6,1
LightTable/LightTable,thewhitetulip,2015-02-22 0:00,1,0,1
LightTable/LightTable,alhimik45,2015-02-22 0:00,48,4,1
LightTable/LightTable,celwell,2014-01-12 0:00,10,10,1
LightTable/LightTable,ohAitch,2015-01-25 0:00,1,1,1
LightTable/LightTable,sawcordwell,2015-01-11 0:00,1,0,1
LightTable/LightTable,rmunn,2014-01-12 0:00,2,2,1
LightTable/LightTable,DomKM,2014-01-19 0:00,7,0,1
LightTable/LightTable,patrickconnelly,2014-03-02 0:00,1,1,1
LightTable/LightTable,MarcoPolo,2014-01-26 0:00,2,2,1
LightTable/LightTable,toqueteos,2014-01-26 0:00,3,3,1
LightTable/LightTable,ThePawnBreak,2014-01-26 0:00,19,12,1
LightTable/LightTable,dkinzer,2014-07-27 0:00,1,1,1
LightTable/LightTable,manutter51,2014-01-26 0:00,1,1,1
LightTable/LightTable,blandinw,2014-06-22 0:00,2,2,1
LightTable/LightTable,gruns,2014-06-01 0:00,15,6,1
LightTable/LightTable,skrat,2014-06-01 0:00,1,1,1
LightTable/LightTable,heyLu,2014-01-26 0:00,270,48,1
LightTable/LightTable,yuanmai,2014-02-02 0:00,1,1,1
LightTable/LightTable,ykomatsu,2014-04-20 0:00,8,2,1
LightTable/LightTable,flaviozantut,2014-02-09 0:00,1,1,1
LightTable/LightTable,ccspell,2014-03-16 0:00,1,1,1
LightTable/LightTable,spelufo,2014-03-02 0:00,4,3,1
LightTable/LightTable,chmllr,2014-01-19 0:00,1,0,1
LightTable/LightTable,efuquen,2014-01-12 0:00,604,1,2
LightTable/LightTable,statesside,2014-02-16 0:00,10,1,1
LightTable/LightTable,statesside,2014-02-23 0:00,1,1,1
LightTable/LightTable,nickgieschen,2014-02-16 0:00,17,1,1
LightTable/LightTable,nickgieschen,2014-03-23 0:00,1,1,1
LightTable/LightTable,joneshf,2014-01-05 0:00,6,5,2
LightTable/LightTable,TeachMeFly,2016-01-03 0:00,24,2,2
LightTable/LightTable,gekkoe,2014-06-29 0:00,1,1,1
LightTable/LightTable,gekkoe,2014-08-03 0:00,7,1,1
LightTable/LightTable,BenjaminVanRyseghem,2015-06-21 0:00,1,1,1
LightTable/LightTable,BenjaminVanRyseghem,2015-08-23 0:00,10,1,1
LightTable/LightTable,cndreisbach,2014-01-26 0:00,27,15,3
LightTable/LightTable,can3p,2014-01-12 0:00,6,6,3
LightTable/LightTable,sieben,2014-01-12 0:00,13,0,3
LightTable/LightTable,piyush0101,2014-02-16 0:00,7,0,1
LightTable/LightTable,piyush0101,2014-02-23 0:00,2,2,1
LightTable/LightTable,piyush0101,2014-03-09 0:00,3,0,1
LightTable/LightTable,gunnarahlberg,2014-01-05 0:00,34,1,2
LightTable/LightTable,gunnarahlberg,2014-01-12 0:00,13,0,1
LightTable/LightTable,martinchooooooo,2015-04-19 0:00,21,20,3
LightTable/LightTable,martinchooooooo,2015-07-05 0:00,4,11,1
LightTable/LightTable,Morgawr,2014-01-12 0:00,2,1,2
LightTable/LightTable,Morgawr,2014-01-19 0:00,2,1,2
LightTable/LightTable,Gozala,2014-01-05 0:00,1,4,1
LightTable/LightTable,Gozala,2014-03-02 0:00,5,3,1
LightTable/LightTable,Gozala,2014-05-18 0:00,5,5,2
LightTable/LightTable,snufkon,2014-03-02 0:00,38,10,4
LightTable/LightTable,snufkon,2014-03-16 0:00,8,5,1
LightTable/LightTable,snufkon,2015-01-25 0:00,8,2,1
LightTable/LightTable,mihneadb,2014-01-26 0:00,22,9,6
LightTable/LightTable,mihneadb,2014-02-02 0:00,6,0,1
LightTable/LightTable,rundis,2015-06-14 0:00,1,1,1
LightTable/LightTable,rundis,2015-06-21 0:00,7,0,1
LightTable/LightTable,rundis,2015-06-28 0:00,11,2,1
LightTable/LightTable,rundis,2015-07-12 0:00,19,18,1
LightTable/LightTable,rundis,2015-08-30 0:00,12,6,1
LightTable/LightTable,rundis,2015-10-11 0:00,4,7,1
LightTable/LightTable,rundis,2015-11-15 0:00,16,1,1
LightTable/LightTable,sbauer322,2016-06-12 0:00,5,10,1
LightTable/LightTable,sbauer322,2016-08-14 0:00,25,4,2
LightTable/LightTable,sbauer322,2016-08-28 0:00,12,1098,1
LightTable/LightTable,sbauer322,2016-09-11 0:00,613,137,2
LightTable/LightTable,sbauer322,2016-09-25 0:00,14,5,1
LightTable/LightTable,sbauer322,2016-10-02 0:00,424,114,1
LightTable/LightTable,Bost,2014-04-06 0:00,8,4,4
LightTable/LightTable,Bost,2014-04-13 0:00,2,2,2
LightTable/LightTable,Bost,2014-04-20 0:00,5,5,1
LightTable/LightTable,Bost,2014-10-19 0:00,19,25,1
LightTable/LightTable,Bost,2015-11-29 0:00,28,76,3
LightTable/LightTable,seancaffery,2014-02-16 0:00,4,2,1
LightTable/LightTable,seancaffery,2014-02-23 0:00,3,3,1
LightTable/LightTable,seancaffery,2014-03-30 0:00,42,14,4
LightTable/LightTable,seancaffery,2014-04-20 0:00,11,11,1
LightTable/LightTable,seancaffery,2014-08-17 0:00,17,4,1
LightTable/LightTable,seancaffery,2014-08-24 0:00,11,2,3
LightTable/LightTable,mortalapeman,2014-01-12 0:00,75,41,3
LightTable/LightTable,mortalapeman,2014-01-19 0:00,14,11,2
LightTable/LightTable,mortalapeman,2014-03-16 0:00,47,32,3
LightTable/LightTable,mortalapeman,2014-03-30 0:00,51,50,3
LightTable/LightTable,mortalapeman,2014-04-27 0:00,2,1,1
LightTable/LightTable,mortalapeman,2014-08-31 0:00,33,36,2
LightTable/LightTable,ndr-qef,2014-01-19 0:00,5,3,2
LightTable/LightTable,ndr-qef,2014-01-26 0:00,39,9,5
LightTable/LightTable,ndr-qef,2014-02-02 0:00,0,4,1
LightTable/LightTable,ndr-qef,2014-02-16 0:00,6,3,1
LightTable/LightTable,ndr-qef,2014-03-02 0:00,41,5,3
LightTable/LightTable,ndr-qef,2014-03-09 0:00,5,0,1
LightTable/LightTable,ndr-qef,2014-03-23 0:00,23,20,1
LightTable/LightTable,ndr-qef,2014-05-18 0:00,6,2,2
LightTable/LightTable,ndr-qef,2014-07-06 0:00,5,2,1
LightTable/LightTable,kenny-evitt,2015-06-14 0:00,37,15,2
LightTable/LightTable,kenny-evitt,2015-06-21 0:00,2,0,1
LightTable/LightTable,kenny-evitt,2015-08-30 0:00,1,1,1
LightTable/LightTable,kenny-evitt,2015-09-06 0:00,15,4,2
LightTable/LightTable,kenny-evitt,2015-09-13 0:00,2,2,1
LightTable/LightTable,kenny-evitt,2015-09-20 0:00,1,1,1
LightTable/LightTable,kenny-evitt,2015-09-27 0:00,3,3,1
LightTable/LightTable,kenny-evitt,2015-11-15 0:00,3,3,1
LightTable/LightTable,kenny-evitt,2015-12-06 0:00,9,6,4
LightTable/LightTable,kenny-evitt,2015-12-13 0:00,1,1,1
LightTable/LightTable,kenny-evitt,2016-01-17 0:00,8,8,4
LightTable/LightTable,kenny-evitt,2016-04-03 0:00,6,1,1
LightTable/LightTable,kenny-evitt,2016-04-24 0:00,67,0,1
LightTable/LightTable,kenny-evitt,2016-06-05 0:00,2,0,1
LightTable/LightTable,kenny-evitt,2016-06-12 0:00,8,2,1
LightTable/LightTable,kenny-evitt,2016-08-14 0:00,7,1,2
LightTable/LightTable,kenny-evitt,2016-09-04 0:00,8,0,1
LightTable/LightTable,brabadu,2014-10-12 0:00,1247,1176,17
LightTable/LightTable,brabadu,2014-10-19 0:00,25,16,4
LightTable/LightTable,brabadu,2014-10-26 0:00,4,17,1
LightTable/LightTable,brabadu,2014-11-02 0:00,66,61,3
LightTable/LightTable,brabadu,2014-11-09 0:00,13,6,1
LightTable/LightTable,joshuafcole,2014-01-05 0:00,191,190,9
LightTable/LightTable,joshuafcole,2014-01-12 0:00,2,2,1
LightTable/LightTable,joshuafcole,2014-04-13 0:00,3,1,2
LightTable/LightTable,joshuafcole,2014-04-20 0:00,1,1,1
LightTable/LightTable,joshuafcole,2014-07-27 0:00,59,59,3
LightTable/LightTable,joshuafcole,2014-08-10 0:00,295,291,4
LightTable/LightTable,joshuafcole,2014-08-17 0:00,26,7,2
LightTable/LightTable,joshuafcole,2014-08-24 0:00,16,18,5
LightTable/LightTable,joshuafcole,2015-01-04 0:00,7,4,1
LightTable/LightTable,MikeInnes,2014-04-06 0:00,1,2,1
LightTable/LightTable,MikeInnes,2014-08-03 0:00,2,2,1
LightTable/LightTable,MikeInnes,2014-08-17 0:00,45,14,6
LightTable/LightTable,MikeInnes,2014-08-24 0:00,35,34,1
LightTable/LightTable,MikeInnes,2014-08-31 0:00,9,9,1
LightTable/LightTable,MikeInnes,2014-09-07 0:00,1,1,1
LightTable/LightTable,MikeInnes,2014-11-02 0:00,22,596,1
LightTable/LightTable,MikeInnes,2014-11-16 0:00,1,0,1
LightTable/LightTable,MikeInnes,2014-11-30 0:00,5,1,3
LightTable/LightTable,MikeInnes,2014-12-07 0:00,201,112,20
LightTable/LightTable,MikeInnes,2014-12-14 0:00,2,0,2
LightTable/LightTable,jamii,2013-12-08 0:00,24427,24185,20
LightTable/LightTable,jamii,2013-12-15 0:00,3709,39814,23
LightTable/LightTable,jamii,2013-12-29 0:00,24,27,10
LightTable/LightTable,jamii,2014-01-05 0:00,319,75,22
LightTable/LightTable,jamii,2014-01-12 0:00,4,2,2
LightTable/LightTable,jamii,2014-01-19 0:00,7,3,1
LightTable/LightTable,jamii,2014-02-09 0:00,12,3,1
LightTable/LightTable,jamii,2014-02-16 0:00,30,10,1
LightTable/LightTable,jamii,2014-05-11 0:00,19,1,3
LightTable/LightTable,cldwalker,2014-03-02 0:00,2,2,1
LightTable/LightTable,cldwalker,2014-03-09 0:00,18,5,2
LightTable/LightTable,cldwalker,2014-03-16 0:00,35,21,5
LightTable/LightTable,cldwalker,2014-03-30 0:00,19,10,3
LightTable/LightTable,cldwalker,2014-04-13 0:00,3,1,1
LightTable/LightTable,cldwalker,2014-08-03 0:00,33,19,3
LightTable/LightTable,cldwalker,2014-08-24 0:00,39,16,4
LightTable/LightTable,cldwalker,2014-08-31 0:00,6,0,1
LightTable/LightTable,cldwalker,2014-09-14 0:00,1,0,1
LightTable/LightTable,cldwalker,2014-09-28 0:00,7,27,5
LightTable/LightTable,cldwalker,2014-10-05 0:00,5,12,2
LightTable/LightTable,cldwalker,2014-10-12 0:00,93,53,3
LightTable/LightTable,cldwalker,2014-10-19 0:00,171,53,10
LightTable/LightTable,cldwalker,2014-10-26 0:00,1,0,1
LightTable/LightTable,cldwalker,2014-11-02 0:00,52,19,7
LightTable/LightTable,cldwalker,2014-11-09 0:00,204,191,7
LightTable/LightTable,cldwalker,2014-11-16 0:00,113,29,11
LightTable/LightTable,cldwalker,2014-11-23 0:00,246,237,4
LightTable/LightTable,cldwalker,2014-11-30 0:00,58688,25687,11
LightTable/LightTable,cldwalker,2014-12-07 0:00,164,44,9
LightTable/LightTable,cldwalker,2014-12-14 0:00,187,162,12
LightTable/LightTable,cldwalker,2014-12-21 0:00,240,54,6
LightTable/LightTable,cldwalker,2014-12-28 0:00,462,333,15
LightTable/LightTable,cldwalker,2015-01-04 0:00,60,148,5
LightTable/LightTable,cldwalker,2015-01-11 0:00,135,270,6
LightTable/LightTable,cldwalker,2015-01-18 0:00,12,0,1
LightTable/LightTable,cldwalker,2015-01-25 0:00,64,88,9
LightTable/LightTable,cldwalker,2015-02-01 0:00,5,5,1
LightTable/LightTable,cldwalker,2015-02-22 0:00,11,6,1
LightTable/LightTable,cldwalker,2015-03-01 0:00,1,0,1
LightTable/LightTable,cldwalker,2015-08-23 0:00,695,15618,11
LightTable/LightTable,cldwalker,2015-08-30 0:00,49,19,5
LightTable/LightTable,cldwalker,2015-09-06 0:00,1,2,1
LightTable/LightTable,cldwalker,2015-09-13 0:00,1,0,1
LightTable/LightTable,cldwalker,2015-09-20 0:00,4872,4737,11
LightTable/LightTable,cldwalker,2015-10-18 0:00,1,1,1
LightTable/LightTable,cldwalker,2015-11-01 0:00,33,13,3
LightTable/LightTable,cldwalker,2015-11-22 0:00,4,0,1
LightTable/LightTable,cldwalker,2015-11-29 0:00,141,66,8
LightTable/LightTable,cldwalker,2015-12-06 0:00,249,136,12
