repoName,login,week,a,d,c
dcjones/Gadfly.jl,powerdistribution,2012-12-16 0:00,10,10,1
dcjones/Gadfly.jl,dmbates,2013-01-06 0:00,1,2,1
dcjones/Gadfly.jl,JohnAnthony,2016-10-02 0:00,1,1,1
dcjones/Gadfly.jl,rennis250,2013-01-06 0:00,7,0,1
dcjones/Gadfly.jl,jwmerrill,2013-01-20 0:00,1,1,1
dcjones/Gadfly.jl,sje30,2013-09-08 0:00,1,2,1
dcjones/Gadfly.jl,bloody76,2013-10-20 0:00,3,3,1
dcjones/Gadfly.jl,Mattriks,2016-04-10 0:00,194,4,1
dcjones/Gadfly.jl,lindahua,2013-10-20 0:00,4,5,1
dcjones/Gadfly.jl,adrianlzt,2013-12-15 0:00,1,1,1
dcjones/Gadfly.jl,smackesey,2014-01-19 0:00,2,2,1
dcjones/Gadfly.jl,JohnHBrock,2016-05-01 0:00,13,1,1
dcjones/Gadfly.jl,slel,2016-04-03 0:00,2,2,1
dcjones/Gadfly.jl,mdpradeep,2016-02-07 0:00,138,0,1
dcjones/Gadfly.jl,sveme,2014-02-23 0:00,1,1,1
dcjones/Gadfly.jl,BenConnault,2014-03-09 0:00,1,1,1
dcjones/Gadfly.jl,mortenpi,2015-12-27 0:00,55,12,1
dcjones/Gadfly.jl,AlainLich,2015-06-14 0:00,20,0,1
dcjones/Gadfly.jl,ivarne,2014-06-08 0:00,1,1,1
dcjones/Gadfly.jl,binarybana,2014-09-07 0:00,10,0,1
dcjones/Gadfly.jl,JobJob,2014-10-26 0:00,1,1,1
dcjones/Gadfly.jl,xxfelixxx,2015-08-30 0:00,1,1,1
dcjones/Gadfly.jl,mpastell,2014-12-21 0:00,1,0,1
dcjones/Gadfly.jl,cmey,2015-01-18 0:00,1,1,1
dcjones/Gadfly.jl,nanaya-tachibana,2015-03-08 0:00,7,7,1
dcjones/Gadfly.jl,visr,2015-04-12 0:00,2,0,1
dcjones/Gadfly.jl,samuelpowell,2015-07-26 0:00,2,1,1
dcjones/Gadfly.jl,isislovecruft,2015-07-26 0:00,2,2,1
dcjones/Gadfly.jl,wildart,2015-04-12 0:00,5,1,1
dcjones/Gadfly.jl,alyst,2015-06-28 0:00,1,1,1
dcjones/Gadfly.jl,sebastianskejoe,2015-05-24 0:00,1,1,1
dcjones/Gadfly.jl,mschauer,2014-03-09 0:00,1,1,1
dcjones/Gadfly.jl,catawbasam,2013-11-03 0:00,3,3,1
dcjones/Gadfly.jl,catawbasam,2015-06-28 0:00,1,1,1
dcjones/Gadfly.jl,sebastiang,2015-04-19 0:00,26,26,2
dcjones/Gadfly.jl,jiahao,2014-08-03 0:00,0,12,1
dcjones/Gadfly.jl,jiahao,2015-07-12 0:00,1,1,1
dcjones/Gadfly.jl,MikeInnes,2016-09-18 0:00,21,4,2
dcjones/Gadfly.jl,StefanKarpinski,2013-08-25 0:00,1,1,1
dcjones/Gadfly.jl,StefanKarpinski,2013-10-20 0:00,2,3,1
dcjones/Gadfly.jl,nignatiadis,2014-02-23 0:00,71,66,1
dcjones/Gadfly.jl,nignatiadis,2014-03-23 0:00,38,13,1
dcjones/Gadfly.jl,blakejohnson,2013-03-17 0:00,2,2,1
dcjones/Gadfly.jl,blakejohnson,2013-08-25 0:00,69,2,1
dcjones/Gadfly.jl,waldyrious,2014-11-09 0:00,4,4,2
dcjones/Gadfly.jl,maximsch2,2015-07-12 0:00,1,1,1
dcjones/Gadfly.jl,maximsch2,2015-09-06 0:00,1,1,1
dcjones/Gadfly.jl,tlycken,2016-08-07 0:00,8,9,2
dcjones/Gadfly.jl,kbuzby,2014-11-16 0:00,8,8,1
dcjones/Gadfly.jl,kbuzby,2014-12-07 0:00,10,9,1
dcjones/Gadfly.jl,kbuzby,2014-12-14 0:00,9,7,1
dcjones/Gadfly.jl,garborg,2013-12-08 0:00,2,2,1
dcjones/Gadfly.jl,garborg,2014-02-16 0:00,2,2,1
dcjones/Gadfly.jl,garborg,2014-10-19 0:00,13,13,1
dcjones/Gadfly.jl,staticfloat,2013-11-17 0:00,5,6,2
dcjones/Gadfly.jl,staticfloat,2014-08-17 0:00,1,1,1
dcjones/Gadfly.jl,kshyatt,2015-11-15 0:00,1,1,1
dcjones/Gadfly.jl,kshyatt,2015-11-29 0:00,6,0,1
dcjones/Gadfly.jl,kshyatt,2016-05-29 0:00,7,1,1
dcjones/Gadfly.jl,jaredly,2013-12-29 0:00,35,13,3
dcjones/Gadfly.jl,calder,2013-10-20 0:00,82,18,3
dcjones/Gadfly.jl,Hydrotoast,2016-09-11 0:00,3,3,3
dcjones/Gadfly.jl,randyzwitch,2014-01-19 0:00,37,37,3
dcjones/Gadfly.jl,mbauman,2014-11-30 0:00,1,1,1
dcjones/Gadfly.jl,mbauman,2014-12-28 0:00,1,1,1
dcjones/Gadfly.jl,mbauman,2015-08-02 0:00,2,2,1
dcjones/Gadfly.jl,jverzani,2013-06-16 0:00,56,10,1
dcjones/Gadfly.jl,jverzani,2013-06-23 0:00,72,23,3
dcjones/Gadfly.jl,joehuchette,2015-08-09 0:00,13,17,4
dcjones/Gadfly.jl,inq,2014-06-22 0:00,24,14,4
