repoName,login,week,a,d,c
facebook/infer,dambrisco,2015-06-07 0:00,2,2,1
facebook/infer,avsm,2015-06-14 0:00,39,0,1
facebook/infer,cs09g,2015-06-14 0:00,1,4,1
facebook/infer,occho,2015-06-28 0:00,1,0,1
facebook/infer,rahulparsani,2015-07-19 0:00,0,13,1
facebook/infer,dsp,2015-08-16 0:00,4,0,1
facebook/infer,yas375,2015-09-27 0:00,2,2,1
facebook/infer,DoctorQ,2015-10-11 0:00,54,0,1
facebook/infer,kenkyee,2016-02-07 0:00,1,0,1
facebook/infer,Skyfold,2016-02-07 0:00,2,1,1
facebook/infer,NickFirmani,2016-03-13 0:00,98,16,1
facebook/infer,csierra,2016-07-03 0:00,34,12,1
facebook/infer,ronin13,2016-08-07 0:00,10,0,1
facebook/infer,xennygrimmato,2016-07-31 0:00,1,1,1
facebook/infer,filippog,2016-07-31 0:00,23,0,1
facebook/infer,hzsweers,2016-07-31 0:00,2,0,1
facebook/infer,luiscruz,2016-04-24 0:00,34,0,1
facebook/infer,jkeljo,2015-07-26 0:00,247,157,2
facebook/infer,tonycosentini,2016-01-10 0:00,10,10,1
facebook/infer,tonycosentini,2016-01-31 0:00,4,2,2
facebook/infer,kstreee,2016-02-07 0:00,2,1,1
facebook/infer,kstreee,2016-02-21 0:00,5,3,2
facebook/infer,irpap,2015-08-09 0:00,96,61,2
facebook/infer,irpap,2015-08-16 0:00,46,79,2
facebook/infer,irpap,2015-08-30 0:00,29,29,1
facebook/infer,irpap,2015-09-06 0:00,1,1,1
facebook/infer,irpap,2015-09-13 0:00,1,1,1
facebook/infer,irpap,2015-09-27 0:00,1,1,1
facebook/infer,irpap,2015-10-11 0:00,10,6,1
facebook/infer,peterogithub,2015-10-25 0:00,8,6,1
facebook/infer,peterogithub,2016-01-31 0:00,180,3,1
facebook/infer,peterogithub,2016-02-21 0:00,21,2,1
facebook/infer,peterogithub,2016-04-10 0:00,3,0,1
facebook/infer,peterogithub,2016-04-17 0:00,72,18,1
facebook/infer,peterogithub,2016-05-15 0:00,9,25,1
facebook/infer,peterogithub,2016-05-29 0:00,38,0,1
facebook/infer,peterogithub,2016-06-05 0:00,50,2,2
facebook/infer,peterogithub,2016-06-12 0:00,5,1,1
facebook/infer,peterogithub,2016-06-19 0:00,6,1,1
facebook/infer,peterogithub,2016-09-18 0:00,105,0,1
facebook/infer,peterogithub,2016-10-02 0:00,195,106,1
facebook/infer,peterogithub,2016-10-09 0:00,10,11,1
facebook/infer,lazaroclapp,2016-06-19 0:00,70,0,1
facebook/infer,lazaroclapp,2016-07-10 0:00,104,0,1
facebook/infer,lazaroclapp,2016-07-17 0:00,303,14,3
facebook/infer,lazaroclapp,2016-07-24 0:00,606,58,3
facebook/infer,lazaroclapp,2016-07-31 0:00,602,137,9
facebook/infer,lazaroclapp,2016-08-14 0:00,71,32,2
facebook/infer,lazaroclapp,2016-08-21 0:00,152,79,1
facebook/infer,lazaroclapp,2016-09-04 0:00,32,0,1
