repoName,login,week,a,d,c
johnmyleswhite/ML_for_Hackers,abramsm,2012-02-19 00:00:00,1,1,1
johnmyleswhite/ML_for_Hackers,infynyxx,2012-03-11 00:00:00,2,2,1
johnmyleswhite/ML_for_Hackers,edgester,2012-12-16 00:00:00,1,1,1
johnmyleswhite/ML_for_Hackers,pcp135,2012-09-16 00:00:00,1,3,1
johnmyleswhite/ML_for_Hackers,edmore,2012-12-16 00:00:00,1,1,1
johnmyleswhite/ML_for_Hackers,drewconway,2012-02-05 00:00:00,26489693,264,7
johnmyleswhite/ML_for_Hackers,drewconway,2012-02-12 00:00:00,826,826,6
johnmyleswhite/ML_for_Hackers,drewconway,2012-09-09 00:00:00,52,24,3
johnmyleswhite/ML_for_Hackers,drewconway,2012-09-16 00:00:00,4,1,1
johnmyleswhite/ML_for_Hackers,drewconway,2012-09-23 00:00:00,2,0,1
johnmyleswhite/ML_for_Hackers,drewconway,2013-12-08 00:00:00,25,6,4
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-02-05 00:00:00,285746,0,8
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-02-12 00:00:00,26499833,26490037,20
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-02-19 00:00:00,10,1,1
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-03-11 00:00:00,5,3,1
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-09-16 00:00:00,74,18,8
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2012-09-23 00:00:00,73237,0,2
johnmyleswhite/ML_for_Hackers,johnmyleswhite,2013-07-28 00:00:00,31,28,5
hadley/ggplot2,lianos,2010-01-31 00:00:00,112,112,1
hadley/ggplot2,Smudgerville,2016-10-02 00:00:00,1,1,1
hadley/ggplot2,schloerke,2016-09-25 00:00:00,15,6,1
hadley/ggplot2,kloesing,2010-06-06 00:00:00,15,15,1
hadley/ggplot2,pierucci,2016-10-02 00:00:00,6,2,1
hadley/ggplot2,briandk,2012-02-05 00:00:00,11,4,1
hadley/ggplot2,hbuschme,2016-09-18 00:00:00,26,11,1
hadley/ggplot2,jonathan-g,2016-09-11 00:00:00,21,10,1
hadley/ggplot2,DarwinAwardWinner,2016-09-11 00:00:00,3,1,1
hadley/ggplot2,tdmcarthur,2016-09-04 00:00:00,30,10,1
hadley/ggplot2,mnbram,2016-09-04 00:00:00,4,0,1
hadley/ggplot2,dariobuttari,2012-07-01 00:00:00,1,1,1
hadley/ggplot2,crowding,2013-03-31 00:00:00,1,1,1
hadley/ggplot2,lehy,2013-09-01 00:00:00,1,1,1
hadley/ggplot2,yihui,2014-02-23 00:00:00,2,0,1
hadley/ggplot2,dgromer,2016-07-31 00:00:00,10,0,1
hadley/ggplot2,rasmusab,2014-02-23 00:00:00,15,4,1
hadley/ggplot2,salmasian,2016-07-17 00:00:00,2,2,1
hadley/ggplot2,jabranham,2016-07-17 00:00:00,1,1,1
hadley/ggplot2,stefanedwards,2014-03-09 00:00:00,4,0,1
hadley/ggplot2,tjmahr,2016-07-10 00:00:00,2,2,1
hadley/ggplot2,mnazarov,2016-07-10 00:00:00,1,1,1
hadley/ggplot2,wibeasley,2016-05-29 00:00:00,1,1,1
hadley/ggplot2,Symaxion,2015-06-14 00:00:00,29,11,1
hadley/ggplot2,martin-martin,2016-05-08 00:00:00,1,1,1
hadley/ggplot2,davidkretch,2016-05-08 00:00:00,1,1,1
hadley/ggplot2,arilamstein,2014-03-23 00:00:00,5,5,1
hadley/ggplot2,coolbutuseless,2016-04-24 00:00:00,1,1,1
hadley/ggplot2,alamstein-trulia,2014-03-23 00:00:00,5,5,1
hadley/ggplot2,gokceneraslan,2014-04-27 00:00:00,1,1,1
hadley/ggplot2,yutannihilation,2016-02-28 00:00:00,6,6,1
hadley/ggplot2,smsaladi,2016-02-28 00:00:00,1,1,1
hadley/ggplot2,joey711,2014-05-11 00:00:00,1,1,1
hadley/ggplot2,talgalili,2016-01-31 00:00:00,1,1,1
hadley/ggplot2,Thell,2016-01-10 00:00:00,1,1,1
hadley/ggplot2,jschoeley,2016-01-03 00:00:00,3,1,1
hadley/ggplot2,codetrainee,2015-12-27 00:00:00,2,2,1
hadley/ggplot2,PeteHaitch,2015-12-20 00:00:00,2,2,1
hadley/ggplot2,chrismerkord,2015-11-22 00:00:00,4,2,1
hadley/ggplot2,croach,2014-05-18 00:00:00,2,2,1
hadley/ggplot2,pmur002,2015-09-20 00:00:00,5,0,1
hadley/ggplot2,BernhardKonrad,2015-01-11 00:00:00,1,1,1
hadley/ggplot2,lindbrook,2015-09-06 00:00:00,2,2,1
hadley/ggplot2,pbiecek,2015-09-06 00:00:00,3,3,1
hadley/ggplot2,robertzk,2015-08-30 00:00:00,2,2,1
