repoName,login,week,a,d,c
cisco/ChezScheme,fluffy,2016-04-10 00:00:00,203,0,1
cisco/ChezScheme,jltaylor-us,2016-09-11 00:00:00,74,161,1
cisco/ChezScheme,waywardmonkeys,2016-04-24 00:00:00,15,15,1
cisco/ChezScheme,gavwhela,2016-08-21 00:00:00,5,2,1
cisco/ChezScheme,combinatorylogic,2016-04-24 00:00:00,19,9,1
cisco/ChezScheme,aj-michael,2016-05-29 00:00:00,2,2,1
cisco/ChezScheme,eraserhd,2016-07-10 00:00:00,62,36,1
cisco/ChezScheme,Abhayakara,2016-05-22 00:00:00,1,1,1
cisco/ChezScheme,hyln9,2016-05-01 00:00:00,34,1,1
cisco/ChezScheme,fitzgen,2016-05-29 00:00:00,4,3,2
cisco/ChezScheme,yjqww6,2016-06-05 00:00:00,13,2,1
cisco/ChezScheme,yjqww6,2016-06-12 00:00:00,17,8,1
cisco/ChezScheme,michaellenaghan,2016-05-08 00:00:00,67,81,5
cisco/ChezScheme,michaellenaghan,2016-05-15 00:00:00,128,70,3
cisco/ChezScheme,michaellenaghan,2016-05-22 00:00:00,1,1,1
cisco/ChezScheme,michaellenaghan,2016-07-24 00:00:00,3,0,1
cisco/ChezScheme,akeep,2016-04-24 00:00:00,24,8,3
cisco/ChezScheme,akeep,2016-05-01 00:00:00,45,2,1
cisco/ChezScheme,akeep,2016-05-08 00:00:00,98,58,2
cisco/ChezScheme,akeep,2016-07-17 00:00:00,8,1,1
cisco/ChezScheme,akeep,2016-07-31 00:00:00,29,13,3
cisco/ChezScheme,burgerrg,2016-04-24 00:00:00,17,1,2
cisco/ChezScheme,burgerrg,2016-05-01 00:00:00,28,28,3
cisco/ChezScheme,burgerrg,2016-05-08 00:00:00,2,2,1
cisco/ChezScheme,burgerrg,2016-06-05 00:00:00,439,453,2
cisco/ChezScheme,burgerrg,2016-06-12 00:00:00,11,7,2
cisco/ChezScheme,burgerrg,2016-06-19 00:00:00,21,10,3
cisco/ChezScheme,burgerrg,2016-06-26 00:00:00,2,2,2
cisco/ChezScheme,burgerrg,2016-08-21 00:00:00,5,5,2
cisco/ChezScheme,burgerrg,2016-09-18 00:00:00,23,1,2
cisco/ChezScheme,dybvig,2016-04-24 00:00:00,375162,37,8
cisco/ChezScheme,dybvig,2016-05-01 00:00:00,1463,1035,6
cisco/ChezScheme,dybvig,2016-05-08 00:00:00,8,3,3
cisco/ChezScheme,dybvig,2016-05-15 00:00:00,119,101,3
cisco/ChezScheme,dybvig,2016-05-29 00:00:00,57,7,2
cisco/ChezScheme,dybvig,2016-06-05 00:00:00,48,55,1
cisco/ChezScheme,dybvig,2016-06-12 00:00:00,541,406,3
cisco/ChezScheme,dybvig,2016-07-24 00:00:00,0,0,1
cisco/ChezScheme,dybvig,2016-08-07 00:00:00,40,7,1
cisco/ChezScheme,dybvig,2016-08-14 00:00:00,55,4,1
cisco/ChezScheme,dybvig,2016-08-21 00:00:00,232,15,3
eholk/harlan,webyrd,2011-09-25 00:00:00,0,10,1
eholk/harlan,blueridanus,2015-07-12 00:00:00,1,1,1
eholk/harlan,kwadrat,2015-03-15 00:00:00,1,1,1
eholk/harlan,lkuper,2013-06-30 00:00:00,1,1,1
eholk/harlan,akeep,2013-09-29 00:00:00,77,63,1
eholk/harlan,JosephCottam,2014-06-01 00:00:00,14,5,1
eholk/harlan,marcinz,2014-02-16 00:00:00,264,42,3
eholk/harlan,marcinz,2014-03-30 00:00:00,78,0,1
eholk/harlan,marcinz,2014-04-20 00:00:00,73,10,3
eholk/harlan,rrnewton,2012-04-08 00:00:00,380,47,5
eholk/harlan,rrnewton,2013-06-16 00:00:00,76,36,4
eholk/harlan,rrnewton,2013-08-25 00:00:00,87,4,2
eholk/harlan,rrnewton,2014-03-16 00:00:00,285,139,16
eholk/harlan,rrnewton,2014-03-23 00:00:00,2,1,1
eholk/harlan,rrnewton,2014-04-13 00:00:00,9,3,1
eholk/harlan,calvis,2011-10-09 00:00:00,483,349,6
eholk/harlan,calvis,2011-10-16 00:00:00,7017,8818,29
eholk/harlan,calvis,2011-10-23 00:00:00,2972,362,13
eholk/harlan,calvis,2011-10-30 00:00:00,2318,1748,29
eholk/harlan,calvis,2011-11-06 00:00:00,1036,1008,14
eholk/harlan,calvis,2011-11-13 00:00:00,1093,1381,5
eholk/harlan,calvis,2011-11-20 00:00:00,2,2,1
eholk/harlan,calvis,2011-11-27 00:00:00,61,64,4
eholk/harlan,calvis,2011-12-11 00:00:00,395,280,24
eholk/harlan,calvis,2012-01-15 00:00:00,5,4,4
eholk/harlan,calvis,2012-01-29 00:00:00,20,4,2
eholk/harlan,calvis,2012-02-05 00:00:00,47,1,2
eholk/harlan,calvis,2012-02-12 00:00:00,1,29,1
eholk/harlan,calvis,2012-02-26 00:00:00,207,141,6
eholk/harlan,calvis,2012-03-04 00:00:00,240,186,6
eholk/harlan,calvis,2012-04-08 00:00:00,3432,2932,69
eholk/harlan,calvis,2012-04-15 00:00:00,2749,4249,28
eholk/harlan,calvis,2012-04-22 00:00:00,1630,1539,26
eholk/harlan,calvis,2012-04-29 00:00:00,1355,960,20
eholk/harlan,calvis,2012-11-04 00:00:00,80,78,2
eholk/harlan,eholk,2011-09-18 00:00:00,138420,129,3
eholk/harlan,eholk,2011-09-25 00:00:00,147841,131365,11
eholk/harlan,eholk,2011-10-02 00:00:00,375,537,17
eholk/harlan,eholk,2011-10-09 00:00:00,1416,1316,4
eholk/harlan,eholk,2011-10-16 00:00:00,2597,2108,30
eholk/harlan,eholk,2011-10-23 00:00:00,762,423,23
eholk/harlan,eholk,2011-10-30 00:00:00,1144,1414,14
eholk/harlan,eholk,2011-11-06 00:00:00,1,1,1
eholk/harlan,eholk,2011-11-13 00:00:00,1,0,1
eholk/harlan,eholk,2011-11-20 00:00:00,241,71,7
eholk/harlan,eholk,2011-11-27 00:00:00,60,0,1
eholk/harlan,eholk,2011-12-04 00:00:00,158,107,7
eholk/harlan,eholk,2011-12-11 00:00:00,10046,147707,22
eholk/harlan,eholk,2012-01-15 00:00:00,86,34,4
eholk/harlan,eholk,2012-01-22 00:00:00,20,1,2
eholk/harlan,eholk,2012-01-29 00:00:00,13,1,1
eholk/harlan,eholk,2012-02-05 00:00:00,191,194,9
eholk/harlan,eholk,2012-02-12 00:00:00,171,50,6
eholk/harlan,eholk,2012-02-19 00:00:00,96,55,2
eholk/harlan,eholk,2012-03-04 00:00:00,82,48,3
eholk/harlan,eholk,2012-03-25 00:00:00,62,21,2
eholk/harlan,eholk,2012-04-08 00:00:00,384,188,12
eholk/harlan,eholk,2012-04-15 00:00:00,439,374,14
eholk/harlan,eholk,2012-04-22 00:00:00,191,80,9
eholk/harlan,eholk,2012-05-27 00:00:00,92,77,4
eholk/harlan,eholk,2012-06-17 00:00:00,46,6,3
eholk/harlan,eholk,2012-06-24 00:00:00,54,77,1
eholk/harlan,eholk,2012-08-26 00:00:00,13,3,2
eholk/harlan,eholk,2012-09-16 00:00:00,192,56,7
eholk/harlan,eholk,2012-10-14 00:00:00,42,0,1
eholk/harlan,eholk,2012-10-21 00:00:00,65,33,3
eholk/harlan,eholk,2012-10-28 00:00:00,793,284,23
eholk/harlan,eholk,2012-11-04 00:00:00,220,88,15
eholk/harlan,eholk,2012-11-11 00:00:00,95,0,1
